Iteracion 	 mejor fitness encontrado 
0	4538
1	4373
2	3968
3	3717
4	3425
5	3123
6	3123
7	3082
8	2843
9	2837
10	2819
11	2813
12	2813
13	2654
14	2654
15	2606
16	2606
17	2603
18	2603
19	2459
20	2456
21	2456
22	2456
23	2456
24	2456
25	2456
26	2456
27	2456
28	2456
29	2456
30	2456
31	2456
32	2456
33	2456
34	2456
35	2456
36	2456
37	2456
38	2456
39	2456
40	2456
41	2456
42	2456
43	2456
44	2456
45	2456
46	2456
47	2456
48	2456
49	2456
50	2456
51	2456
52	2456
53	2456
54	2456
55	2456
56	2456
57	2456
58	2456
59	2456
60	2456
61	2456
62	2456
63	2456
64	2456
65	2456
66	2456
67	2456
68	2456
69	2456
70	2456
71	2456
72	2456
73	2456
74	2456
75	2456
76	2456
77	2456
78	2456
79	2456
80	2456
81	2456
82	2456
83	2456
84	2456
85	2456
86	2456
87	2456
88	2456
89	2456
90	2456
91	2456
92	2456
93	2456
94	2456
95	2456
96	2456
97	2456
98	2456
99	2456
100	2456
101	2456
102	2456
103	2456
104	2456
105	2456
106	2456
107	2456
108	2456
109	2456
110	2456
111	2456
112	2456
113	2456
114	2456
115	2456
116	2456
117	2456
118	2456
119	2456
120	2456
121	2456
122	2456
123	2456
124	2456
125	2456
126	2456
127	2456
128	2456
129	2456
130	2456
131	2456
132	2456
133	2456
134	2456
135	2456
136	2456
137	2456
138	2456
139	2456
140	2456
141	2456
142	2456
143	2456
144	2456
145	2456
146	2456
147	2456
148	2456
149	2456
150	2456
151	2456
152	2456
153	2456
154	2456
155	2456
156	2456
157	2456
158	2456
159	2456
160	2456
161	2456
162	2456
163	2456
164	2456
165	2456
166	2456
167	2456
168	2456
169	2456
170	2456
171	2456
172	2456
173	2456
174	2456
175	2456
176	2456
177	2456
178	2456
179	2456
180	2456
181	2456
182	2456
183	2456
184	2456
185	2456
186	2456
187	2456
188	2456
189	2456
190	2456
191	2456
192	2456
193	2456
194	2456
195	2456
196	2456
197	2456
198	2456
199	2456
